vib_x,vib_y,vib_z,temp,prediction,anomaly_score,is_anomaly,magnitude,prediction2,score2,is_anomaly2,temp_haute,prediction3,score3,is_anomaly3
-0.04,-1.8,9.45,34.63,1,-0.4619679414698307,False,9.61998440747177,1,-0.4226297658034112,False,0.0,1,-0.3842788733210478,False
-0.12,-1.88,9.34,34.63,1,-0.4596740431652214,False,9.528084802309433,1,-0.44984042964407317,False,0.0,1,-0.4085155378156367,False
0.27,-1.88,9.34,34.63,1,-0.45692885677890094,False,9.531154179846215,1,-0.44946029331343396,False,0.0,1,-0.40858804788178915,False
-0.2,-1.84,9.53,34.63,1,-0.4650619237768939,False,9.708063658629356,1,-0.4015900260472573,False,0.0,1,-0.37219554118211956,False
-0.27,-1.53,9.77,34.63,1,-0.4829029313589722,False,9.892759978893654,1,-0.3744847315241021,False,0.0,1,-0.36005531571532434,False
-0.08,-1.61,9.69,34.56,1,-0.4753831631384656,False,9.823166495585829,1,-0.36958277274405954,False,0.0,1,-0.3492788787693536,False
0.08,-1.61,9.61,34.56,1,-0.4690556006277388,False,9.744259848751982,1,-0.3875767762409434,False,0.0,1,-0.35958576593325575,False
0.04,-1.37,9.61,34.56,1,-0.47069413868485066,False,9.707244717220226,1,-0.39282369306284926,False,0.0,1,-0.3655255384860428,False
0.24,-1.1,9.85,34.56,1,-0.4933992940986988,False,9.914136371868201,1,-0.367871645109051,False,0.0,1,-0.3519865735603621,False
-0.04,-1.18,9.61,34.56,1,-0.47798333226541523,False,9.682256968289986,1,-0.4035770706270742,False,0.0,1,-0.3662353928344705,False
0.08,-1.41,9.73,34.56,1,-0.47445478645324796,False,9.831958095923722,1,-0.3690577071611228,False,0.0,1,-0.34927182735672724,False
0.12,-1.45,9.53,34.56,1,-0.46407860563811076,False,9.640425301821491,1,-0.4084176903528337,False,0.0,1,-0.375624001547501,False
0.16,-1.37,9.61,34.56,1,-0.47088526428429106,False,9.708480828636374,1,-0.3929841756835679,False,0.0,1,-0.3652033479392656,False
0.16,-1.29,9.73,34.56,1,-0.48250844277537064,False,9.816445385168707,1,-0.3712161287134047,False,0.0,1,-0.3498512183865957,False
-0.04,-1.37,9.61,34.56,1,-0.4710727821530282,False,9.707244717220226,1,-0.39282369306284926,False,0.0,1,-0.3655255384860428,False
-0.71,-1.06,9.81,34.63,1,-0.4982657220126121,False,9.892613405971145,1,-0.3744847315241021,False,0.0,1,-0.36005531571532434,False
